,city,Temp,Humidity,Cloudiness,Wind,Country,Lat,Lon,Date
0,porirua,14.23,66.0,24.0,9.89,NZ,-41.1333,174.85,1653101463.0
1,itum-kale,6.91,87.0,36.0,1.95,RU,42.7356,45.5758,1653101463.0
2,nguiu,,,,,,,,
3,barentsburg,,,,,,,,
4,busselton,19.91,57.0,3.0,4.48,AU,-33.65,115.3333,1653101464.0
5,bredasdorp,10.02,84.0,37.0,2.74,ZA,-34.5322,20.0403,1653101464.0
6,port alfred,16.0,75.0,100.0,2.33,ZA,-33.5906,26.891,1653101465.0
7,kapaa,24.51,91.0,36.0,1.34,US,22.0752,-159.319,1653101465.0
8,sioux lookout,1.16,99.0,100.0,2.52,CA,50.1001,-91.917,1653101465.0
9,torbay,4.22,84.0,14.0,0.45,CA,47.6666,-52.7314,1653101466.0
10,hobart,11.14,76.0,11.0,0.45,AU,-42.8794,147.3294,1653101103.0
11,luderitz,10.13,72.0,0.0,4.4,NA,-26.6481,15.1594,1653101466.0
12,campo de criptana,18.59,45.0,93.0,7.78,ES,39.4046,-3.1249,1653101466.0
13,ust-maya,8.99,47.0,99.0,3.72,RU,60.4167,134.5333,1653101467.0
14,cayenne,23.94,1.0,100.0,4.9,GF,4.9333,-52.3333,1653101373.0
15,kirovskiy,24.22,41.0,100.0,3.01,RU,45.0917,133.5136,1653101467.0
16,klaksvik,8.94,96.0,100.0,5.64,FO,62.2266,-6.589,1653101467.0
17,mar del plata,10.53,81.0,95.0,0.89,AR,-38.0023,-57.5575,1653101350.0
18,sept-iles,8.36,76.0,100.0,0.89,CA,50.2001,-66.3821,1653101468.0
19,ouegoa,26.71,76.0,58.0,2.75,NC,-20.35,164.4333,1653101292.0
20,jamestown,21.72,86.0,100.0,1.34,US,42.097,-79.2353,1653101342.0
21,mahebourg,23.47,76.0,36.0,7.52,MU,-20.4081,57.7,1653101468.0
22,mersing,31.0,63.0,20.0,1.72,MY,2.4312,103.8405,1653101468.0
23,bluff,8.05,76.0,94.0,15.83,NZ,-46.6,168.3333,1653101469.0
24,punta arenas,5.06,93.0,100.0,4.07,CL,-53.15,-70.9167,1653101235.0
25,amderma,,,,,,,,
26,yulara,20.71,37.0,67.0,4.69,AU,-25.2406,130.9889,1653101469.0
27,labytnangi,4.28,46.0,100.0,7.62,RU,66.6572,66.4183,1653101470.0
28,vaini,24.69,73.0,98.0,4.61,TO,-21.2,-175.2,1653101470.0
29,castro,5.97,86.0,0.0,1.02,BR,-24.7911,-50.0119,1653101470.0
30,port moresby,29.48,66.0,27.0,4.3,PG,-9.4431,147.1797,1653101438.0
31,sola,27.64,76.0,76.0,5.28,VU,-13.8833,167.55,1653101471.0
32,ostrovnoy,0.32,65.0,99.0,3.08,RU,68.0531,39.5131,1653101471.0
33,yar-sale,0.31,86.0,100.0,8.77,RU,66.8333,70.8333,1653101471.0
34,mandalgovi,23.23,19.0,43.0,2.92,MN,45.7625,106.2708,1653101471.0
35,banda aceh,29.64,71.0,100.0,5.38,ID,5.5577,95.3222,1653101472.0
36,berbera,29.6,64.0,100.0,1.82,SO,10.4396,45.0143,1653101472.0
37,vardo,2.34,76.0,99.0,10.64,NO,70.3705,31.1107,1653101472.0
38,khatanga,5.74,73.0,100.0,5.75,RU,71.9667,102.5,1653101473.0
39,dashitou,22.9,39.0,92.0,7.07,CN,43.3067,128.5114,1653101473.0
40,new norfolk,10.95,57.0,10.0,0.44,AU,-42.7826,147.0587,1653101473.0
41,masumbwe,16.37,62.0,100.0,1.6,TZ,-3.6333,32.1833,1653101474.0
42,dakar,22.84,81.0,47.0,6.27,SN,14.6937,-17.4441,1653101474.0
43,mataura,6.3,90.0,100.0,6.62,NZ,-46.1927,168.8643,1653101474.0
44,tuatapere,8.01,82.0,98.0,9.9,NZ,-46.1333,167.6833,1653101409.0
45,tabou,25.15,89.0,100.0,3.24,CI,4.423,-7.3528,1653101475.0
46,kavieng,29.38,70.0,46.0,5.22,PG,-2.5744,150.7967,1653101475.0
47,qaanaaq,-10.53,87.0,97.0,2.05,GL,77.484,-69.3632,1653101475.0
48,albany,18.45,83.0,100.0,1.34,US,42.6001,-73.9662,1653101427.0
49,rikitea,23.41,77.0,7.0,3.41,PF,-23.1203,-134.9692,1653101251.0
50,vila franca do campo,19.0,88.0,100.0,1.87,PT,37.7167,-25.4333,1653101476.0
51,leo,25.17,71.0,19.0,3.02,BF,11.1,-2.1,1653101476.0
52,avarua,25.34,73.0,87.0,4.61,CK,-21.2078,-159.775,1653101476.0
53,faya,18.64,18.0,2.0,3.51,SA,18.3851,42.4509,1653101477.0
54,aklavik,5.99,81.0,90.0,4.91,CA,68.2191,-135.0107,1653101477.0
55,atuona,25.36,67.0,0.0,3.87,PF,-9.8,-139.0333,1653101400.0
56,esperance,20.47,54.0,25.0,2.09,AU,-33.8667,121.9,1653101477.0
57,mackay,21.49,84.0,92.0,8.45,AU,-21.15,149.2,1653101478.0
58,ushuaia,5.56,95.0,100.0,2.52,AR,-54.8,-68.3,1653101354.0
59,taolanaro,,,,,,,,
60,nuuk,1.41,80.0,100.0,1.83,GL,64.1835,-51.7216,1653101478.0
61,eha amufu,24.01,93.0,100.0,2.77,NG,6.6592,7.7596,1653101478.0
62,tazovskiy,1.65,98.0,100.0,2.43,RU,67.4667,78.7,1653101479.0
63,port elizabeth,13.51,99.0,100.0,0.89,ZA,-33.918,25.5701,1653101479.0
64,mount isa,25.35,45.0,0.0,7.04,AU,-20.7333,139.5,1653101479.0
65,thompson,1.69,76.0,100.0,4.43,CA,55.7435,-97.8558,1653101480.0
66,malwan,,,,,,,,
67,camargo,26.08,9.0,0.0,11.59,MX,27.6667,-105.1667,1653101480.0
68,carnarvon,23.17,46.0,0.0,2.07,AU,-24.8667,113.6333,1653101480.0
69,dunedin,9.33,63.0,100.0,6.71,NZ,-45.8742,170.5036,1653101411.0
70,gamba,23.81,90.0,90.0,2.36,GA,-2.65,10.0,1653101481.0
71,nikolskoye,5.49,71.0,61.0,2.19,RU,59.7035,30.7861,1653101481.0
72,dwarka,28.57,75.0,1.0,9.23,IN,22.2394,68.9678,1653101482.0
73,cherskiy,14.79,36.0,15.0,5.91,RU,68.75,161.3,1653101482.0
74,comodoro rivadavia,12.46,47.0,37.0,17.85,AR,-45.8667,-67.5,1653101482.0
75,isangel,26.93,83.0,25.0,10.05,VU,-19.55,169.2667,1653101482.0
76,kenai,9.76,64.0,98.0,3.93,US,60.5544,-151.2583,1653101483.0
77,nome,18.42,38.0,100.0,4.65,US,64.5011,-165.4064,1653101483.0
78,illoqqortoormiut,,,,,,,,
79,attawapiskat,,,,,,,,
80,puerto ayora,22.53,95.0,5.0,1.79,EC,-0.7393,-90.3518,1653101484.0
81,provideniya,9.14,56.0,64.0,4.16,RU,64.3833,-173.3,1653101484.0
82,saskylakh,0.37,97.0,90.0,3.66,RU,71.9167,114.0833,1653101484.0
83,flin flon,4.15,47.0,100.0,3.77,CA,54.7682,-101.865,1653101485.0
84,victoria,29.47,71.0,63.0,2.24,HK,22.2855,114.1577,1653101402.0
85,qaqortoq,2.78,82.0,8.0,1.22,GL,60.7167,-46.0333,1653101485.0
86,tshikapa,22.75,78.0,100.0,0.95,CD,-6.4167,20.8,1653101485.0
87,chalmette,27.36,74.0,0.0,1.79,US,29.9427,-89.9634,1653101486.0
88,marmaris,17.28,62.0,15.0,1.91,TR,36.855,28.2742,1653101486.0
89,leningradskiy,0.72,98.0,88.0,4.27,RU,69.3833,178.4167,1653101486.0
90,chokurdakh,1.95,100.0,89.0,3.19,RU,70.6333,147.9167,1653101486.0
91,butaritari,27.5,72.0,63.0,5.64,KI,3.0707,172.7902,1653101363.0
92,victor harbor,13.33,78.0,14.0,4.1,AU,-35.5667,138.6167,1653101487.0
93,chuy,8.82,87.0,44.0,2.75,UY,-33.6971,-53.4616,1653101487.0
94,hermanus,13.44,74.0,38.0,1.8,ZA,-34.4187,19.2345,1653101487.0
95,yellowknife,13.09,28.0,31.0,4.02,CA,62.456,-114.3525,1653101445.0
96,sorland,7.41,97.0,100.0,2.67,NO,67.667,12.6934,1653101488.0
97,pevek,0.95,99.0,86.0,2.66,RU,69.7008,170.3133,1653101488.0
98,cap malheureux,23.59,77.0,61.0,2.68,MU,-19.9842,57.6142,1653101488.0
99,mae sai,23.71,94.0,100.0,1.05,TH,20.4335,99.8762,1653101489.0
100,marystown,6.03,100.0,1.0,1.02,CA,47.1666,-55.1483,1653101489.0
101,payson,7.54,49.0,56.0,1.34,US,40.0444,-111.7321,1653101489.0
102,beloha,18.65,46.0,90.0,1.3,MG,-25.1667,45.05,1653101490.0
103,husavik,7.97,83.0,77.0,1.94,IS,66.0449,-17.3389,1653101490.0
104,betioky,17.05,64.0,49.0,2.31,MG,-23.7167,44.3833,1653101490.0
105,saint-philippe,18.95,84.0,36.0,5.04,RE,-21.3585,55.7679,1653101491.0
106,clyde river,-5.35,91.0,100.0,1.8,CA,70.4692,-68.5914,1653101491.0
107,zeya,12.69,57.0,82.0,4.81,RU,53.75,127.2667,1653101491.0
108,saint-pierre,18.99,78.0,0.0,4.79,RE,-21.3393,55.4781,1653101492.0
109,faanui,26.91,71.0,21.0,3.64,PF,-16.4833,-151.75,1653101492.0
110,mount gambier,15.32,48.0,5.0,2.66,AU,-37.8333,140.7667,1653101492.0
111,cape town,11.74,88.0,27.0,0.45,ZA,-33.9258,18.4232,1653101492.0
112,sirjan,23.69,14.0,0.0,0.29,IR,29.452,55.6814,1653101493.0
113,buritis,12.2,49.0,39.0,0.78,BR,-15.6178,-46.4233,1653101493.0
114,cabo san lucas,20.84,70.0,0.0,4.02,MX,22.8909,-109.9124,1653101468.0
115,belushya guba,,,,,,,,
116,ewa beach,26.67,80.0,63.0,3.58,US,21.3156,-158.0072,1653101330.0
117,berlevag,2.81,77.0,100.0,7.16,NO,70.8578,29.0864,1653101494.0
118,lhokseumawe,29.48,67.0,100.0,1.31,ID,5.1801,97.1507,1653101494.0
119,sentyabrskiy,,,,,,,,
120,wanning,29.21,71.0,98.0,2.26,CN,18.8003,110.3967,1653101494.0
121,tolentino,18.58,54.0,7.0,4.23,IT,43.2126,13.2901,1653101495.0
122,laguna,25.71,15.0,45.0,1.79,US,38.421,-121.4238,1653101495.0
123,fare,26.31,73.0,27.0,3.11,PF,-16.7,-151.0167,1653101495.0
124,tsihombe,,,,,,,,
125,katha,,,,,,,,
126,geraldton,21.92,49.0,0.0,1.16,AU,-28.7667,114.6,1653101496.0
127,tautira,26.2,71.0,3.0,3.11,PF,-17.7333,-149.15,1653101496.0
128,arraial do cabo,19.63,78.0,60.0,5.04,BR,-22.9661,-42.0278,1653101496.0
129,hilo,24.57,86.0,28.0,1.34,US,19.7297,-155.09,1653101497.0
130,bogorodskoye,3.1,75.0,82.0,1.53,RU,56.55,37.8833,1653101497.0
131,airai,23.72,48.0,74.0,2.61,TL,-8.9266,125.4092,1653101497.0
132,kalmunai,29.31,66.0,19.0,3.18,LK,7.4167,81.8167,1653101498.0
133,petropavlovsk-kamchatskiy,4.32,100.0,100.0,2.38,RU,53.0452,158.6483,1653101498.0
134,kathmandu,18.12,82.0,75.0,1.54,NP,27.7167,85.3167,1653101304.0
135,arman,5.01,99.0,100.0,2.0,RU,59.7,150.1667,1653101498.0
136,mrirt,,,,,,,,
137,marsh harbour,26.65,81.0,100.0,4.91,BS,26.5412,-77.0636,1653101499.0
138,escanaba,11.8,96.0,78.0,2.67,US,45.7453,-87.0646,1653101255.0
139,lyubim,1.27,71.0,72.0,1.97,RU,58.3625,40.6843,1653101499.0
140,kouroussa,24.13,77.0,53.0,3.14,GN,10.65,-9.8833,1653101499.0
141,urusha,16.48,30.0,36.0,3.98,RU,54.05,122.9,1653101500.0
142,fairbanks,22.7,25.0,9.0,0.45,US,64.8378,-147.7164,1653101262.0
143,georgetown,30.55,70.0,95.0,1.34,MY,5.4112,100.3354,1653101500.0
144,mehamn,2.44,91.0,100.0,5.4,NO,71.0357,27.8492,1653101500.0
145,tasiilaq,-1.99,80.0,5.0,2.82,GL,65.6145,-37.6368,1653101501.0
146,severo-kurilsk,6.4,89.0,100.0,6.52,RU,50.6789,156.125,1653101501.0
147,port-cartier,8.19,85.0,100.0,2.8,CA,50.0334,-66.8654,1653101501.0
148,dubbo,18.85,53.0,72.0,6.83,AU,-32.25,148.6167,1653101280.0
149,helena,4.57,69.0,77.0,0.89,US,46.5927,-112.0361,1653101211.0
150,asau,9.6,76.0,7.0,3.09,RO,46.4333,26.4,1653101502.0
151,mys shmidta,,,,,,,,
152,harper,25.29,87.0,100.0,3.44,LR,4.375,-7.7169,1653101502.0
153,narsaq,3.68,74.0,7.0,0.45,GL,60.9167,-46.05,1653101502.0
154,ponta do sol,17.65,81.0,1.0,1.82,PT,32.6667,-17.1,1653101503.0
155,sao joao da barra,17.16,84.0,0.0,4.18,BR,-21.6403,-41.0511,1653101503.0
156,los llanos de aridane,16.74,86.0,15.0,2.68,ES,28.6585,-17.9182,1653101503.0
157,champerico,27.76,75.0,89.0,0.97,GT,14.3,-91.9167,1653101504.0
158,codrington,15.07,55.0,5.0,3.17,AU,-38.2667,141.9667,1653101504.0
159,meridian,11.39,52.0,53.0,2.13,US,43.6121,-116.3915,1653101504.0
160,nanortalik,2.83,84.0,16.0,2.53,GL,60.1432,-45.2371,1653101505.0
161,ballina,17.1,82.0,100.0,6.14,AU,-28.8667,153.5667,1653101505.0
162,olafsvik,7.89,89.0,100.0,4.16,IS,64.8945,-23.7142,1653101505.0
163,khanpur,36.16,15.0,0.0,2.43,PK,28.6453,70.6567,1653101059.0
164,barao de melgaco,12.36,55.0,58.0,1.2,BR,-16.1944,-55.9675,1653101506.0
165,paamiut,1.33,84.0,89.0,3.97,GL,61.994,-49.6678,1653101506.0
166,port-gentil,25.69,84.0,100.0,5.6,GA,-0.7193,8.7815,1653101506.0
167,palabuhanratu,,,,,,,,
168,grand-lahou,25.24,90.0,100.0,2.68,CI,5.1367,-5.0242,1653101506.0
169,cidreira,11.93,84.0,5.0,2.51,BR,-30.1811,-50.2056,1653101507.0
170,antalaha,20.94,84.0,22.0,3.75,MG,-14.9003,50.2788,1653101507.0
171,ribeira grande,17.76,97.0,100.0,3.68,PT,38.5167,-28.7,1653101507.0
172,avera,23.29,55.0,77.0,3.67,US,33.194,-82.5271,1653101508.0
173,qitaihe,21.94,46.0,46.0,2.3,CN,45.8,130.85,1653101508.0
174,kaitangata,7.21,78.0,99.0,10.08,NZ,-46.2817,169.8464,1653101508.0
175,alofi,26.12,77.0,26.0,3.36,NU,-19.0595,-169.9187,1653101428.0
176,hualmay,18.0,91.0,66.0,4.26,PE,-11.0964,-77.6139,1653101509.0
177,nouadhibou,18.6,88.0,8.0,9.42,MR,20.931,-17.0347,1653101509.0
178,east london,16.39,71.0,100.0,3.6,ZA,-33.0153,27.9116,1653101299.0
179,saint george,18.22,12.0,1.0,3.13,US,37.1041,-113.5841,1653101509.0
180,dikson,-1.34,86.0,91.0,3.62,RU,73.5069,80.5464,1653101510.0
181,pacific grove,12.75,71.0,3.0,3.58,US,36.6177,-121.9166,1653101289.0
182,xacmaz,13.33,74.0,56.0,2.48,AZ,41.4635,48.806,1653101510.0
183,qasigiannguit,-3.11,82.0,100.0,2.11,GL,68.8193,-51.1922,1653101510.0
184,san patricio,26.76,81.0,3.0,10.11,US,28.017,-97.5169,1653101511.0
185,yeppoon,17.88,94.0,100.0,7.66,AU,-23.1333,150.7333,1653101511.0
186,longyearbyen,-0.13,91.0,100.0,3.01,SJ,78.2186,15.6401,1653101511.0
187,fortuna,12.41,77.0,3.0,1.79,US,40.5982,-124.1573,1653101310.0
188,uni,1.35,96.0,100.0,4.09,RU,57.7535,51.4923,1653101512.0
189,sao filipe,22.33,75.0,98.0,3.29,CV,14.8961,-24.4956,1653101512.0
190,ahipara,16.54,64.0,99.0,7.21,NZ,-35.1667,173.1667,1653101512.0
191,talcher,35.3,44.0,1.0,1.43,IN,20.95,85.2167,1653101226.0
192,grand river south east,,,,,,,,
193,coquimbo,15.94,74.0,100.0,1.59,CL,-29.9533,-71.3436,1653101346.0
194,abay,21.6,33.0,36.0,7.78,KZ,49.6311,72.8539,1653101513.0
195,boffa,26.39,88.0,99.0,1.97,GN,10.1667,-14.0333,1653101513.0
196,deputatskiy,-0.14,100.0,100.0,0.85,RU,69.3,139.9,1653101513.0
197,lagoa,16.64,98.0,100.0,5.9,PT,39.05,-27.9833,1653101514.0
198,nhulunbuy,29.85,59.0,8.0,6.77,AU,-12.2333,136.7667,1653101514.0
199,nelson bay,16.16,96.0,99.0,5.37,AU,-32.7167,152.15,1653101514.0
200,hasaki,22.38,68.0,100.0,5.11,JP,35.7333,140.8333,1653101515.0
201,tiksi,0.28,90.0,100.0,2.39,RU,71.6872,128.8694,1653101515.0
202,nyurba,14.55,52.0,100.0,1.97,RU,63.2842,118.3319,1653101515.0
203,san jose,18.25,43.0,5.0,0.89,US,37.3394,-121.895,1653101444.0
204,rabak,28.73,48.0,9.0,4.1,SD,13.1809,32.74,1653101516.0
205,tabiauea,,,,,,,,
206,butka,6.35,88.0,100.0,3.43,RU,56.7179,63.7866,1653101516.0
207,wawa,25.27,80.0,69.0,2.91,NG,9.9022,4.4192,1653101516.0
208,nizhneyansk,,,,,,,,
209,rawson,13.8,48.0,1.0,9.08,AR,-43.3002,-65.1023,1653101517.0
210,tunduru,,,,,,,,
211,nizhniy dzhengutay,12.66,75.0,5.0,2.72,RU,42.7001,47.2449,1653101517.0
212,lavrentiya,2.24,94.0,39.0,3.59,RU,65.5833,-171.0,1653101518.0
213,boende,21.18,98.0,100.0,1.29,CD,-0.2167,20.8667,1653101518.0
214,vryburg,6.28,69.0,62.0,4.76,ZA,-26.9566,24.7284,1653101518.0
215,ossora,3.81,86.0,99.0,3.3,RU,59.2353,163.0719,1653101519.0
216,bud,25.26,69.0,7.0,5.88,US,39.447,-86.1758,1653101519.0
217,bubaque,25.75,80.0,37.0,6.04,GW,11.2833,-15.8333,1653101519.0
218,ancud,10.76,93.0,100.0,4.97,CL,-41.8697,-73.8203,1653101359.0
219,abaete,10.78,61.0,0.0,1.16,BR,-19.16,-45.4458,1653101520.0
220,buderim,17.45,96.0,100.0,2.24,AU,-26.6833,153.05,1653101520.0
221,jaguarao,8.45,89.0,4.0,3.27,BR,-32.5661,-53.3758,1653101274.0
222,ust-kut,19.68,46.0,95.0,3.77,RU,56.7938,105.7672,1653101520.0
223,new bern,24.55,83.0,10.0,3.77,US,35.1085,-77.0441,1653101520.0
224,solana beach,16.21,83.0,96.0,3.13,US,32.9912,-117.2711,1653101521.0
225,ust-ilimsk,19.8,42.0,100.0,2.88,RU,58.0006,102.6619,1653101521.0
226,kodinsk,20.72,31.0,26.0,4.94,RU,58.6881,99.1844,1653101521.0
227,wajima,19.03,63.0,100.0,2.29,JP,37.4,136.9,1653101522.0
228,trebinje,14.5,65.0,6.0,2.11,BA,42.7119,18.3442,1653101522.0
229,sabancuy,31.36,57.0,77.0,5.33,MX,18.9667,-91.1833,1653101522.0
230,kutum,23.88,16.0,2.0,7.04,SD,14.2,24.6667,1653101523.0
231,dumai,27.66,80.0,95.0,0.91,ID,1.6833,101.45,1653101523.0
232,samarai,28.21,74.0,27.0,3.66,PG,-10.6167,150.6667,1653101523.0
233,vostok,21.49,38.0,89.0,3.96,RU,46.4856,135.8833,1653101524.0
234,mbouda,16.76,93.0,100.0,0.32,CM,5.6258,10.2552,1653101524.0
235,samusu,,,,,,,,
236,tuggurt,,,,,,,,
237,west richland,16.06,50.0,51.0,3.58,US,46.3043,-119.3614,1653101524.0
238,fort nelson,12.78,32.0,4.0,1.37,CA,58.8053,-122.7002,1653101525.0
239,drexel hill,21.11,92.0,100.0,0.89,US,39.9471,-75.2921,1653101500.0
240,ngunguru,16.49,64.0,100.0,6.76,NZ,-35.6167,174.5,1653101525.0
241,makakilo city,25.89,80.0,78.0,1.69,US,21.3469,-158.0858,1653101525.0
242,portland,14.1,64.0,52.0,1.34,US,45.5234,-122.6762,1653101186.0
243,hofn,8.56,96.0,100.0,4.47,IS,64.2539,-15.2082,1653101526.0
244,mayo,26.89,71.0,100.0,2.24,US,38.8876,-76.5119,1653101526.0
245,tuktoyaktuk,0.85,94.0,100.0,2.42,CA,69.4541,-133.0374,1653101526.0
246,les escoumins,10.71,77.0,100.0,7.01,CA,48.1111,-69.0236,1653101527.0
247,namibe,18.54,64.0,44.0,1.38,AO,-15.1961,12.1522,1653101527.0
248,oyama,20.33,66.0,100.0,1.19,JP,36.3,139.8,1653101527.0
249,jamsa,2.3,70.0,2.0,2.04,FI,61.8642,25.19,1653101528.0
250,atar,28.09,24.0,70.0,2.82,MR,20.5169,-13.0499,1653101528.0
251,lebu,10.0,91.0,48.0,3.22,CL,-37.6167,-73.65,1653101528.0
252,othonoi,,,,,,,,
253,souillac,23.12,80.0,31.0,6.88,MU,-20.5167,57.5167,1653101529.0
254,launceston,14.75,68.0,7.0,0.45,AU,-41.45,147.1667,1653101529.0
255,samarinda,27.69,90.0,71.0,1.64,ID,-0.5,117.15,1653101529.0
256,labuhan,26.37,81.0,100.0,0.13,ID,-6.8844,112.2051,1653101530.0
257,iqaluit,-2.39,92.0,94.0,4.02,CA,63.7506,-68.5145,1653101530.0
258,salalah,26.37,81.0,79.0,1.22,OM,17.0151,54.0924,1653101530.0
259,sungaipenuh,25.69,57.0,91.0,0.76,ID,-2.0833,101.3833,1653101531.0
260,cedar city,6.89,24.0,0.0,4.02,US,37.6775,-113.0619,1653101531.0
261,meyungs,,,,,,,,
262,kodiak,7.09,85.0,100.0,9.57,US,57.79,-152.4072,1653101531.0
263,masty,10.75,92.0,100.0,0.75,BY,53.4122,24.5387,1653101532.0
264,alice springs,20.68,32.0,68.0,6.36,AU,-23.7,133.8833,1653101532.0
265,saryshagan,,,,,,,,
266,kruisfontein,12.16,89.0,86.0,3.56,ZA,-34.0033,24.7314,1653101532.0
267,brignais,17.91,82.0,76.0,1.41,FR,45.6736,4.7548,1653101533.0
268,el zulia,23.59,75.0,12.0,2.06,CO,7.9325,-72.6012,1653101533.0
269,yekaterinoslavka,16.95,47.0,94.0,5.98,RU,50.3734,129.1139,1653101533.0
270,peniche,22.84,70.0,98.0,2.75,PT,39.3558,-9.3811,1653101534.0
271,duz,,,,,,,,
272,ponta delgada,19.17,87.0,100.0,2.23,PT,37.7333,-25.6667,1653100960.0
273,nikolsk,2.33,83.0,14.0,4.96,RU,53.7189,46.0712,1653101534.0
274,honiara,29.56,68.0,41.0,3.68,SB,-9.4333,159.95,1653101534.0
275,baykit,16.71,50.0,99.0,2.64,RU,61.67,96.37,1653101535.0
276,khandyga,12.16,41.0,59.0,1.72,RU,62.6667,135.6,1653101535.0
277,suleja,23.83,83.0,100.0,1.39,NG,9.1758,7.1808,1653101535.0
278,barrow,0.07,99.0,100.0,2.17,US,71.2906,-156.7887,1653101536.0
279,hazorasp,25.53,22.0,52.0,5.75,UZ,41.3194,61.0742,1653101536.0
280,sitka,14.84,55.0,15.0,1.14,US,57.0531,-135.33,1653101536.0
281,hurghada,25.59,40.0,50.0,8.72,EG,27.2574,33.8129,1653101537.0
282,sao felix do xingu,20.8,79.0,33.0,0.6,BR,-6.6447,-51.995,1653101537.0
283,yaring,28.49,68.0,80.0,5.38,TH,6.8662,101.3689,1653101537.0
284,suntar,16.02,47.0,93.0,1.79,RU,62.1444,117.6319,1653101537.0
285,santa ana,17.0,81.0,74.0,1.34,US,33.7456,-117.8678,1653101480.0
286,novosheshminsk,2.82,94.0,100.0,6.58,RU,55.0651,51.2338,1653101538.0
287,calderitas,27.83,79.0,89.0,7.43,MX,18.55,-88.25,1653101538.0
288,upernavik,-9.18,98.0,81.0,3.75,GL,72.7868,-56.1549,1653101539.0
289,bonavista,5.09,75.0,0.0,2.57,CA,48.6499,-53.1147,1653101539.0
290,eskisehir,8.24,57.0,0.0,2.46,TR,39.7767,30.5206,1653101539.0
291,beyneu,13.73,59.0,100.0,10.32,KZ,45.3167,55.2,1653101539.0
292,odweyne,23.3,60.0,99.0,5.43,SO,9.4092,45.064,1653101540.0
293,sorong,31.08,58.0,31.0,2.07,ID,-0.8833,131.25,1653101540.0
294,jaguarari,18.72,89.0,100.0,2.8,BR,-10.2639,-40.1958,1653101540.0
295,dingle,28.38,71.0,98.0,2.69,PH,10.9995,122.6711,1653101541.0
296,cassilandia,10.49,61.0,0.0,1.16,BR,-19.1133,-51.7342,1653101483.0
297,sosnovo,3.56,76.0,81.0,2.57,RU,60.5514,30.2144,1653101541.0
298,poum,25.7,81.0,10.0,3.88,NC,-20.2333,164.0167,1653101541.0
